year,month,harvest_season,nearest_district,district_state,fire_count,weather_station,temperature_2m_max,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,is_kharif_season,is_rabi_season,fire_risk_label,fire_risk_score,lag_fire_count,wind_drought_index
2022,5,rabi,Bhiwani,Haryana,7,hisar,41.42258064516129,0.48709677419354835,20.241935483870968,31.806451612903224,0,1,low,3,10,13.611713665943602
2023,5,rabi,Bhiwani,Haryana,4,hisar,36.5,2.5161290322580645,18.496774193548386,42.74193548387097,0,1,low,2,7,5.2605504587155965
2024,5,rabi,Bhiwani,Haryana,19,hisar,41.33548387096774,0.0032258064516129032,18.438709677419357,25.967741935483872,0,1,low,5,4,18.379421221864956
2025,5,rabi,Bhiwani,Haryana,10,hisar,39.41290322580645,0.36774193548387096,16.50967741935484,40.16129032258065,0,1,low,4,19,12.070754716981133
2023,10,kharif,Bhiwani,Haryana,1,hisar,32.148387096774194,0.49677419354838703,12.52258064516129,59.935483870967744,1,0,low,0,1,8.366379310344827
2024,10,kharif,Bhiwani,Haryana,3,hisar,33.82258064516129,0.0,11.841935483870968,57.83870967741935,1,0,low,2,1,11.841935483870968
2022,11,kharif,Bhiwani,Haryana,1,hisar,27.290000000000003,0.029999999999999995,13.110000000000001,60.733333333333334,1,0,low,0,3,12.728155339805827
2023,11,kharif,Bhiwani,Haryana,2,hisar,26.326666666666664,0.23666666666666666,11.186666666666667,70.83333333333333,1,0,low,1,1,9.045822102425879
2024,11,kharif,Bhiwani,Haryana,4,hisar,28.243333333333332,0.0,8.933333333333334,62.53333333333333,1,0,low,2,2,8.933333333333334
2025,11,kharif,Bhiwani,Haryana,2,hisar,26.446666666666665,0.006666666666666667,9.156666666666666,56.666666666666664,1,0,low,1,4,9.096026490066226
2022,4,rabi,Budaun,Uttar Pradesh,2,karnal,39.663333333333334,0.0,18.503333333333334,23.2,0,1,low,1,5,18.503333333333334
2024,4,rabi,Budaun,Uttar Pradesh,5,karnal,34.43333333333333,0.09333333333333334,17.240000000000002,34.5,0,1,low,3,2,15.768292682926832
2025,4,rabi,Budaun,Uttar Pradesh,1,karnal,35.71,0.5833333333333334,15.47,40.733333333333334,0,1,low,0,5,9.770526315789473
2023,5,rabi,Budaun,Uttar Pradesh,1,karnal,34.88709677419355,3.4967741935483874,17.74516129032258,48.774193548387096,0,1,low,0,2,3.9461979913916787
2024,5,rabi,Budaun,Uttar Pradesh,4,karnal,40.832258064516125,0.02258064516129032,20.141935483870967,27.903225806451612,0,1,low,2,1,19.69716088328076
2025,5,rabi,Budaun,Uttar Pradesh,9,karnal,35.41935483870968,1.3612903225806452,16.548387096774192,57.58064516129032,0,1,low,4,4,7.008196721311474
2022,10,kharif,Budaun,Uttar Pradesh,6,karnal,29.47741935483871,0.8161290322580645,12.741935483870968,72.25806451612904,1,0,low,3,5,7.015985790408526
2023,10,kharif,Budaun,Uttar Pradesh,7,karnal,31.27741935483871,0.6774193548387096,12.841935483870968,61.516129032258064,1,0,low,3,6,7.655769230769232
2024,10,kharif,Budaun,Uttar Pradesh,10,karnal,31.93548387096774,0.016129032258064516,11.435483870967742,66.80645161290323,1,0,low,4,7,11.253968253968255
2025,10,kharif,Budaun,Uttar Pradesh,5,karnal,30.080645161290324,1.1870967741935483,10.36774193548387,69.80645161290323,1,0,low,3,10,4.740412979351032
2022,11,kharif,Budaun,Uttar Pradesh,1,karnal,26.813333333333333,0.04333333333333333,13.726666666666667,63.2,1,0,low,0,8,13.156549520766776
2023,11,kharif,Budaun,Uttar Pradesh,3,karnal,26.223333333333336,0.7266666666666667,10.96,71.03333333333333,1,0,low,1,1,6.347490347490349
2024,11,kharif,Budaun,Uttar Pradesh,3,karnal,26.89,0.0,10.33,72.76666666666667,1,0,low,2,3,10.33
2025,11,kharif,Budaun,Uttar Pradesh,1,karnal,25.763333333333332,0.06666666666666667,11.663333333333332,63.03333333333333,1,0,low,0,3,10.934375
2022,4,rabi,Charkhi Dadri,Haryana,2,hisar,40.193333333333335,0.0,16.696666666666665,18.966666666666665,0,1,low,1,10,16.696666666666665
2025,4,rabi,Charkhi Dadri,Haryana,9,hisar,38.983333333333334,0.03666666666666667,15.326666666666666,25.8,0,1,low,4,2,14.784565916398714
2022,5,rabi,Charkhi Dadri,Haryana,1,hisar,41.42258064516129,0.48709677419354835,20.241935483870968,31.806451612903224,0,1,low,0,3,13.611713665943602
2023,5,rabi,Charkhi Dadri,Haryana,2,hisar,36.5,2.5161290322580645,18.496774193548386,42.74193548387097,0,1,low,1,1,5.2605504587155965
2024,5,rabi,Charkhi Dadri,Haryana,4,hisar,41.33548387096774,0.0032258064516129032,18.438709677419357,25.967741935483872,0,1,low,2,2,18.379421221864956
2025,5,rabi,Charkhi Dadri,Haryana,1,hisar,39.41290322580645,0.36774193548387096,16.50967741935484,40.16129032258065,0,1,low,0,4,12.070754716981133
2023,4,rabi,Etah,Uttar Pradesh,1,karnal,34.16,0.4633333333333333,17.446666666666665,38.13333333333333,0,1,low,0,5,11.922551252847379
2024,4,rabi,Etah,Uttar Pradesh,3,karnal,34.43333333333333,0.09333333333333334,17.240000000000002,34.5,0,1,low,2,1,15.768292682926832
2025,4,rabi,Etah,Uttar Pradesh,1,karnal,35.71,0.5833333333333334,15.47,40.733333333333334,0,1,low,0,3,9.770526315789473
2024,5,rabi,Etah,Uttar Pradesh,4,karnal,40.832258064516125,0.02258064516129032,20.141935483870967,27.903225806451612,0,1,low,2,2,19.69716088328076
2025,5,rabi,Etah,Uttar Pradesh,9,karnal,35.41935483870968,1.3612903225806452,16.548387096774192,57.58064516129032,0,1,low,4,4,7.008196721311474
2022,10,kharif,Etah,Uttar Pradesh,1,karnal,29.47741935483871,0.8161290322580645,12.741935483870968,72.25806451612904,1,0,low,0,2,7.015985790408526
2024,10,kharif,Etah,Uttar Pradesh,3,karnal,31.93548387096774,0.016129032258064516,11.435483870967742,66.80645161290323,1,0,low,2,1,11.253968253968255
2025,10,kharif,Etah,Uttar Pradesh,1,karnal,30.080645161290324,1.1870967741935483,10.36774193548387,69.80645161290323,1,0,low,0,3,4.740412979351032
2023,11,kharif,Etah,Uttar Pradesh,1,karnal,26.223333333333336,0.7266666666666667,10.96,71.03333333333333,1,0,low,0,2,6.347490347490349
2024,11,kharif,Etah,Uttar Pradesh,3,karnal,26.89,0.0,10.33,72.76666666666667,1,0,low,2,1,10.33
2025,11,kharif,Etah,Uttar Pradesh,7,karnal,25.763333333333332,0.06666666666666667,11.663333333333332,63.03333333333333,1,0,low,3,3,10.934375
2022,4,rabi,Faridabad,Haryana,7,karnal,39.663333333333334,0.0,18.503333333333334,23.2,0,1,low,3,21,18.503333333333334
2023,4,rabi,Faridabad,Haryana,3,karnal,34.16,0.4633333333333333,17.446666666666665,38.13333333333333,0,1,low,1,7,11.922551252847379
2024,4,rabi,Faridabad,Haryana,3,karnal,34.43333333333333,0.09333333333333334,17.240000000000002,34.5,0,1,low,2,3,15.768292682926832
2025,4,rabi,Faridabad,Haryana,21,karnal,35.71,0.5833333333333334,15.47,40.733333333333334,0,1,medium,5,3,9.770526315789473
2022,5,rabi,Faridabad,Haryana,2,karnal,38.38709677419355,1.0129032258064516,17.335483870967742,45.25806451612903,0,1,low,1,13,8.612179487179489
2023,5,rabi,Faridabad,Haryana,4,karnal,34.88709677419355,3.4967741935483874,17.74516129032258,48.774193548387096,0,1,low,2,2,3.9461979913916787
2024,5,rabi,Faridabad,Haryana,18,karnal,40.832258064516125,0.02258064516129032,20.141935483870967,27.903225806451612,0,1,low,5,4,19.69716088328076
2025,5,rabi,Faridabad,Haryana,4,karnal,35.41935483870968,1.3612903225806452,16.548387096774192,57.58064516129032,0,1,low,2,18,7.008196721311474
2023,10,kharif,Faridabad,Haryana,3,karnal,31.27741935483871,0.6774193548387096,12.841935483870968,61.516129032258064,1,0,low,1,1,7.655769230769232
2024,10,kharif,Faridabad,Haryana,3,karnal,31.93548387096774,0.016129032258064516,11.435483870967742,66.80645161290323,1,0,low,2,3,11.253968253968255
2025,10,kharif,Faridabad,Haryana,1,karnal,30.080645161290324,1.1870967741935483,10.36774193548387,69.80645161290323,1,0,low,0,3,4.740412979351032
2022,11,kharif,Faridabad,Haryana,7,karnal,26.813333333333333,0.04333333333333333,13.726666666666667,63.2,1,0,low,3,10,13.156549520766776
2023,11,kharif,Faridabad,Haryana,5,karnal,26.223333333333336,0.7266666666666667,10.96,71.03333333333333,1,0,low,3,7,6.347490347490349
2024,11,kharif,Faridabad,Haryana,6,karnal,26.89,0.0,10.33,72.76666666666667,1,0,low,3,5,10.33
2025,11,kharif,Faridabad,Haryana,2,karnal,25.763333333333332,0.06666666666666667,11.663333333333332,63.03333333333333,1,0,low,1,6,10.934375
2022,4,rabi,Faridkot,Punjab,47,amritsar,36.96333333333334,0.06333333333333334,13.713333333333333,37.7,0,1,medium,7,21,12.896551724137932
2023,4,rabi,Faridkot,Punjab,2,amritsar,31.723333333333336,1.2433333333333334,14.93,50.86666666666667,0,1,low,1,47,6.655274888558693
2024,4,rabi,Faridkot,Punjab,1,amritsar,31.903333333333332,0.9566666666666667,16.21333333333333,49.333333333333336,0,1,low,0,2,8.286201022146507
2025,4,rabi,Faridkot,Punjab,5,amritsar,37.77333333333333,0.07333333333333333,16.773333333333333,34.13333333333333,0,1,low,3,1,15.627329192546586
2022,5,rabi,Faridkot,Punjab,91,amritsar,39.07096774193548,0.43870967741935485,17.65806451612903,37.483870967741936,0,1,medium,8,52,12.27354260089686
2023,5,rabi,Faridkot,Punjab,76,amritsar,34.935483870967744,1.432258064516129,15.925806451612903,47.225806451612904,0,1,medium,8,91,6.547745358090186
2024,5,rabi,Faridkot,Punjab,81,amritsar,39.690322580645166,0.0774193548387097,15.387096774193548,32.354838709677416,0,1,medium,8,76,14.281437125748502
2025,5,rabi,Faridkot,Punjab,65,amritsar,37.4741935483871,1.3064516129032258,16.04516129032258,47.193548387096776,0,1,medium,8,81,6.956643356643355
2022,10,kharif,Faridkot,Punjab,86,amritsar,30.693548387096776,0.19999999999999998,10.364516129032259,67.16129032258064,1,0,medium,8,189,8.63709677419355
2023,10,kharif,Faridkot,Punjab,29,amritsar,29.316129032258065,1.4580645161290324,11.33548387096774,73.45161290322581,1,0,medium,6,86,4.611548556430446
2024,10,kharif,Faridkot,Punjab,13,amritsar,32.21612903225807,0.3258064516129032,9.94516129032258,67.06451612903226,1,0,low,4,29,7.501216545012166
2025,10,kharif,Faridkot,Punjab,12,amritsar,29.86774193548387,2.667741935483871,10.3,69.29032258064517,1,0,low,4,13,2.808267370272647
2022,11,kharif,Faridkot,Punjab,468,amritsar,24.55666666666667,1.1766666666666665,13.406666666666666,74.1,1,0,high,10,652,6.1592649310872885
2023,11,kharif,Faridkot,Punjab,400,amritsar,24.816666666666666,1.3233333333333333,11.446666666666665,80.66666666666667,1,0,high,10,468,4.926829268292683
2024,11,kharif,Faridkot,Punjab,238,amritsar,26.003333333333334,0.19666666666666668,9.006666666666666,76.33333333333333,1,0,high,10,400,7.526462395543175
2025,11,kharif,Faridkot,Punjab,106,amritsar,24.726666666666667,0.5,8.31,66.23333333333333,1,0,high,9,238,5.54
2022,4,rabi,Farrukhabad,Uttar Pradesh,2,karnal,39.663333333333334,0.0,18.503333333333334,23.2,0,1,low,1,12,18.503333333333334
2023,4,rabi,Farrukhabad,Uttar Pradesh,1,karnal,34.16,0.4633333333333333,17.446666666666665,38.13333333333333,0,1,low,0,2,11.922551252847379
2025,4,rabi,Farrukhabad,Uttar Pradesh,5,karnal,35.71,0.5833333333333334,15.47,40.733333333333334,0,1,low,3,1,9.770526315789473
2022,5,rabi,Farrukhabad,Uttar Pradesh,2,karnal,38.38709677419355,1.0129032258064516,17.335483870967742,45.25806451612903,0,1,low,1,2,8.612179487179489
2024,5,rabi,Farrukhabad,Uttar Pradesh,3,karnal,40.832258064516125,0.02258064516129032,20.141935483870967,27.903225806451612,0,1,low,2,2,19.69716088328076
2025,5,rabi,Farrukhabad,Uttar Pradesh,3,karnal,35.41935483870968,1.3612903225806452,16.548387096774192,57.58064516129032,0,1,low,2,3,7.008196721311474
2023,10,kharif,Farrukhabad,Uttar Pradesh,3,karnal,31.27741935483871,0.6774193548387096,12.841935483870968,61.516129032258064,1,0,low,1,1,7.655769230769232
2024,10,kharif,Farrukhabad,Uttar Pradesh,3,karnal,31.93548387096774,0.016129032258064516,11.435483870967742,66.80645161290323,1,0,low,2,3,11.253968253968255
2024,11,kharif,Farrukhabad,Uttar Pradesh,2,karnal,26.89,0.0,10.33,72.76666666666667,1,0,low,1,2,10.33
2025,11,kharif,Farrukhabad,Uttar Pradesh,2,karnal,25.763333333333332,0.06666666666666667,11.663333333333332,63.03333333333333,1,0,low,1,2,10.934375
2022,4,rabi,Fatehabad,Haryana,39,hisar,40.193333333333335,0.0,16.696666666666665,18.966666666666665,0,1,medium,7,24,16.696666666666665
2023,4,rabi,Fatehabad,Haryana,5,hisar,33.78333333333333,0.25333333333333335,16.353333333333335,39.06666666666667,0,1,low,3,39,13.047872340425533
2024,4,rabi,Fatehabad,Haryana,1,hisar,35.05,0.056666666666666664,18.776666666666664,32.53333333333333,0,1,low,0,5,17.769716088328074
2025,4,rabi,Fatehabad,Haryana,16,hisar,38.983333333333334,0.03666666666666667,15.326666666666666,25.8,0,1,low,5,1,14.784565916398714
2022,5,rabi,Fatehabad,Haryana,15,hisar,41.42258064516129,0.48709677419354835,20.241935483870968,31.806451612903224,0,1,low,5,26,13.611713665943602
2023,5,rabi,Fatehabad,Haryana,24,hisar,36.5,2.5161290322580645,18.496774193548386,42.74193548387097,0,1,medium,6,15,5.2605504587155965
2024,5,rabi,Fatehabad,Haryana,56,hisar,41.33548387096774,0.0032258064516129032,18.438709677419357,25.967741935483872,0,1,medium,7,24,18.379421221864956
2025,5,rabi,Fatehabad,Haryana,40,hisar,39.41290322580645,0.36774193548387096,16.50967741935484,40.16129032258065,0,1,medium,7,56,12.070754716981133
2022,10,kharif,Fatehabad,Haryana,51,hisar,31.60967741935484,0.14516129032258066,12.451612903225806,60.25806451612903,1,0,medium,7,102,10.873239436619718
2023,10,kharif,Fatehabad,Haryana,38,hisar,32.148387096774194,0.49677419354838703,12.52258064516129,59.935483870967744,1,0,medium,6,51,8.366379310344827
2024,10,kharif,Fatehabad,Haryana,10,hisar,33.82258064516129,0.0,11.841935483870968,57.83870967741935,1,0,low,4,38,11.841935483870968
2025,10,kharif,Fatehabad,Haryana,8,hisar,30.91290322580645,0.6612903225806451,10.577419354838709,62.67741935483871,1,0,low,4,10,6.366990291262136
2022,11,kharif,Fatehabad,Haryana,134,hisar,27.290000000000003,0.029999999999999995,13.110000000000001,60.733333333333334,1,0,high,9,427,12.728155339805827
2023,11,kharif,Fatehabad,Haryana,96,hisar,26.326666666666664,0.23666666666666666,11.186666666666667,70.83333333333333,1,0,medium,9,134,9.045822102425879
2024,11,kharif,Fatehabad,Haryana,50,hisar,28.243333333333332,0.0,8.933333333333334,62.53333333333333,1,0,medium,7,96,8.933333333333334
2025,11,kharif,Fatehabad,Haryana,60,hisar,26.446666666666665,0.006666666666666667,9.156666666666666,56.666666666666664,1,0,medium,8,50,9.096026490066226
2022,4,rabi,Fatehgarh Sahib,Punjab,8,ludhiana,38.93,0.0,18.220000000000002,28.733333333333334,0,1,low,3,2,18.220000000000002
2024,4,rabi,Fatehgarh Sahib,Punjab,2,ludhiana,33.34,0.8166666666666667,17.16,42.03333333333333,0,1,low,1,8,9.445871559633028
2025,4,rabi,Fatehgarh Sahib,Punjab,3,ludhiana,37.336666666666666,0.18666666666666665,15.983333333333333,33.53333333333333,0,1,low,2,2,13.469101123595506
2022,5,rabi,Fatehgarh Sahib,Punjab,9,ludhiana,39.3,1.164516129032258,19.251612903225805,38.516129032258064,0,1,low,4,23,8.89418777943368
